Transcript,SRR27137980,SRR27137981,SRR27137982,SRR27137983,SRR27137984,SRR27137985,SRR27137986,SRR27137987,SRR27137988,SRR27137989,SRR27137990,SRR27137991,SRR27137992,SRR27137993,SRR27137994,SRR27137995,SRR27137996,SRR27137997
ESW11388,475.699,379.298,433.247,393.622,495.354,472.285,352.012,433.168,506.824,461.718,362.898,501.889,472.577,515.022,411.229,551.239,382.336,410.569
ESW12927,41,46.088,45.171,35.342,53.789,51.074,40.067,63,37.948,27,31,56.047,47.115,58.585,54,53,36.032,61.291
ESW13350,4,9.012,16.005,16,10,10,4,18,12,5,13,16,12,15,11,12,19,14.05
ESW14414,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
ESW11118,4,3,5.137,4,3,5,4,6,1,2,2,8,8,9,7.005,3,0,5
ESW11786,897.408,727.76,804.778,720.971,556.573,725.387,331.484,748.009,618.543,371.737,581.098,674.822,614.211,733.925,617.299,874.628,748.808,802.401
ESW11787,1172.791,995.092,1130.545,879.08,1209.036,805.888,1076.397,1474.776,1187.832,1081.838,862.145,1158.17,1108.534,1147.44,962.814,1266.615,939.642,1119.481
ESW12123,57,52,52.075,46,29,39,34.963,82.001,37,37,28,46.208,49.707,49.019,28,51,39.004,48
ESW14511,4,7,2,11,0,5,4,3,3,1,1,2,2,3,3,2,2,4
ESW11808,1978.84,1710.187,1900.321,1482.062,1893.799,1316.308,1399.605,2075.2,1933.848,1625.359,1630.682,1987.433,1825.409,2057.786,1665.989,2163.567,1778.727,2065.644
ESW14192,14.336,0,0,0,0,0,0,0,0,10.378,0,0,9.914,0,0,0,14.421,0
ESW14193,38.664,51.14,66.034,48,37,46,29.025,60,33,15.622,33,52,34.33,41,14,43.046,45.602,73.243
ESW11724,41,36.002,39,42,36,45,31,41,37.011,24,25,34,35,42.001,28.003,50.019,29.031,24.014
ESW11506,4,2,2,2,5,10,6,2,24,16,18,14,11.902,14,20,9,3,7
ESW12029,8,4,6,2,6,19,9,11.002,12.004,13,12,15,7,11,13,10,16.056,11
